標題,筆記,網址,標籤,留言
粟家牛肉麵 總店,Eli,https://www.google.com/maps/place/%E7%B2%9F%E5%AE%B6%E7%89%9B%E8%82%89%E9%BA%B5+%E7%B8%BD%E5%BA%97/data=!4m2!3m1!1s0x3442ae518a600afb:0xd646fcc1f6a07149,,
美鮮牛肉湯,好味小姐環島,https://www.google.com/maps/place/%E7%BE%8E%E9%AE%AE%E7%89%9B%E8%82%89%E6%B9%AF/data=!4m2!3m1!1s0x346e75dbac4a6a15:0x25f38baa606adaab,,
隱焱匠｜日式燒肉,,https://www.google.com/maps/place/%E9%9A%B1%E7%84%B1%E5%8C%A0%EF%BD%9C%E6%97%A5%E5%BC%8F%E7%87%92%E8%82%89/data=!4m2!3m1!1s0x346837fa4fa76a9f:0x790da2e4099d16b7,,
黔園川菜餐廳,ig,https://www.google.com/maps/place/%E9%BB%94%E5%9C%92%E5%B7%9D%E8%8F%9C%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x3442a9089154ab69:0xd3b752ee0728503b,,
新光黃昏市場 逸香閣 ｜鵝肉｜烤鴨｜概念館,ig,https://www.google.com/maps/place/%E6%96%B0%E5%85%89%E9%BB%83%E6%98%8F%E5%B8%82%E5%A0%B4+%E9%80%B8%E9%A6%99%E9%96%A3+%EF%BD%9C%E9%B5%9D%E8%82%89%EF%BD%9C%E7%83%A4%E9%B4%A8%EF%BD%9C%E6%A6%82%E5%BF%B5%E9%A4%A8/data=!4m2!3m1!1s0x34693d42c93eef81:0x3bec4c882826f5ce,,
EILONG宜龍 新竹東門｜高質感茶具·咖啡器具｜商務送禮｜節慶送禮首選｜泡茶·手沖咖啡體驗,內人推薦,https://www.google.com/maps/place/EILONG%E5%AE%9C%E9%BE%8D+%E6%96%B0%E7%AB%B9%E6%9D%B1%E9%96%80%EF%BD%9C%E9%AB%98%E8%B3%AA%E6%84%9F%E8%8C%B6%E5%85%B7%C2%B7%E5%92%96%E5%95%A1%E5%99%A8%E5%85%B7%EF%BD%9C%E5%95%86%E5%8B%99%E9%80%81%E7%A6%AE%EF%BD%9C%E7%AF%80%E6%85%B6%E9%80%81%E7%A6%AE%E9%A6%96%E9%81%B8%EF%BD%9C%E6%B3%A1%E8%8C%B6%C2%B7%E6%89%8B%E6%B2%96%E5%92%96%E5%95%A1%E9%AB%94%E9%A9%97/data=!4m2!3m1!1s0x346835bda9e7c04b:0xd9fd8a92cfadc47e,,
太初麵食,司機推薦,https://www.google.com/maps/place/%E5%A4%AA%E5%88%9D%E9%BA%B5%E9%A3%9F/data=!4m2!3m1!1s0x34693d96ffffffff:0x9ca4b5a8ac869869,,
小馬客,,https://www.google.com/maps/place/%E5%B0%8F%E9%A6%AC%E5%AE%A2/data=!4m2!3m1!1s0x346835ed18ab6d49:0x9e1957ee27533924,,
阿亮海產店,賴爸/海豬腳/本港旭蟹/本港龍蝦/這個魚/蚵仔,https://www.google.com/maps/place/%E9%98%BF%E4%BA%AE%E6%B5%B7%E7%94%A2%E5%BA%97/data=!4m2!3m1!1s0x346f7172b19c5711:0xe14b8b3b9e0803e6,,
台南福生小食店,志明/鱔魚意麵,https://www.google.com/maps/place/%E5%8F%B0%E5%8D%97%E7%A6%8F%E7%94%9F%E5%B0%8F%E9%A3%9F%E5%BA%97/data=!4m2!3m1!1s0x346e767a58c7b235:0x20b4544152ebca6b,,
溫爸鵝肉（數量有限 完售即收）,志明/鵝肉飯,https://www.google.com/maps/place/%E6%BA%AB%E7%88%B8%E9%B5%9D%E8%82%89%EF%BC%88%E6%95%B8%E9%87%8F%E6%9C%89%E9%99%90+%E5%AE%8C%E5%94%AE%E5%8D%B3%E6%94%B6%EF%BC%89/data=!4m2!3m1!1s0x346e7761c31d00d7:0xba762c11ad186dbd,,
台南市牛家莊牛肉湯,志明/牛肉蛋花湯,https://www.google.com/maps/place/%E5%8F%B0%E5%8D%97%E5%B8%82%E7%89%9B%E5%AE%B6%E8%8E%8A%E7%89%9B%E8%82%89%E6%B9%AF/data=!4m2!3m1!1s0x346e767a059d39cb:0xa396e5d3dd1f8587,,
有飯開炒飯,薄羽,https://www.google.com/maps/place/%E6%9C%89%E9%A3%AF%E9%96%8B%E7%82%92%E9%A3%AF/data=!4m2!3m1!1s0x346836fa6b3e298b:0xf485944087bcadbb,,
大碗公牛肉麵,月希,https://www.google.com/maps/place/%E5%A4%A7%E7%A2%97%E5%85%AC%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442aa0a54c8d991:0x2cc70b571efc49e6,,
牛爸爸牛肉麵,月希,https://www.google.com/maps/place/%E7%89%9B%E7%88%B8%E7%88%B8%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442abc5fc2c903f:0xac6fc6a39b604db2,,
江牛樓,月希,https://www.google.com/maps/place/%E6%B1%9F%E7%89%9B%E6%A8%93/data=!4m2!3m1!1s0x3442a925115d13cf:0x5e806f3067dbf4dd,,
楊廚師,,https://www.google.com/maps/place/%E6%A5%8A%E5%BB%9A%E5%B8%AB/data=!4m2!3m1!1s0x346835bdbf2401eb:0xc84395f7373b6b11,,
Baboş 土耳其炭火烤肉 (Halal),,https://www.google.com/maps/place/Babo%C5%9F+%E5%9C%9F%E8%80%B3%E5%85%B6%E7%82%AD%E7%81%AB%E7%83%A4%E8%82%89+(Halal)/data=!4m2!3m1!1s0x346837cb8b7dfbeb:0x3766e4f2391dd69b,,
夜間部爌肉飯,denq,https://www.google.com/maps/place/%E5%A4%9C%E9%96%93%E9%83%A8%E7%88%8C%E8%82%89%E9%A3%AF/data=!4m2!3m1!1s0x34693d99d274375d:0xa2c9c1cf2967520b,,
慢漫桶仔雞,老婆推薦,https://www.google.com/maps/place/%E6%85%A2%E6%BC%AB%E6%A1%B6%E4%BB%94%E9%9B%9E/data=!4m2!3m1!1s0x34684b2cbbbbcec5:0x61fb3a244fccfc1a,,
厝秘 功夫菜 手路湯（甘肅店）,,https://www.google.com/maps/place/%E5%8E%9D%E7%A7%98+%E5%8A%9F%E5%A4%AB%E8%8F%9C+%E6%89%8B%E8%B7%AF%E6%B9%AF%EF%BC%88%E7%94%98%E8%82%85%E5%BA%97%EF%BC%89/data=!4m2!3m1!1s0x346917d45f2dba1f:0x352664a86b1fce24,,
真的好海鮮餐廳,過橋鮑魚,https://www.google.com/maps/place/%E7%9C%9F%E7%9A%84%E5%A5%BD%E6%B5%B7%E9%AE%AE%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x3442abdb9330cb57:0x2d4a362908bfe7d5,,
Smoker煙燻,thread,https://www.google.com/maps/place/Smoker%E7%85%99%E7%87%BB/data=!4m2!3m1!1s0x34693d9fd853d585:0xe8bda14b167d7c0d,,
慕泥灰咖啡向上店,thread,https://www.google.com/maps/place/%E6%85%95%E6%B3%A5%E7%81%B0%E5%92%96%E5%95%A1%E5%90%91%E4%B8%8A%E5%BA%97/data=!4m2!3m1!1s0x34693d79b089f187:0xbe7ee5b6dbb5a21b,,
