店名,地址,網址,餐飲類型,來源清單,是否曾去過,距離住家(公里),人均消費預估(元),備註
糖癮糖餅-新竹美食 新竹小吃 新竹下午茶 新竹甜品 新竹糖餅,300台灣新竹市東區興南里德成街3號騎樓號,https://www.google.com/maps/place/%E7%B3%96%E7%99%AE%E7%B3%96%E9%A4%85-%E6%96%B0%E7%AB%B9%E7%BE%8E%E9%A3%9F+%E6%96%B0%E7%AB%B9%E5%B0%8F%E5%90%83+%E6%96%B0%E7%AB%B9%E4%B8%8B%E5%8D%88%E8%8C%B6+%E6%96%B0%E7%AB%B9%E7%94%9C%E5%93%81+%E6%96%B0%E7%AB%B9%E7%B3%96%E9%A4%85/data=!4m2!3m1!1s0x346835709211d907:0xcaa413920699e42d,中式,YTer,是,1.91,120,波妞
汪家魚丸湯、包餡魚丸零售,300台灣新竹市北區客雅里延平路一段261巷8弄15號,https://www.google.com/maps/place/%E6%B1%AA%E5%AE%B6%E9%AD%9A%E4%B8%B8%E6%B9%AF%E3%80%81%E5%8C%85%E9%A4%A1%E9%AD%9A%E4%B8%B8%E9%9B%B6%E5%94%AE/data=!4m2!3m1!1s0x34683599bc5821f9:0x2535cec9801f8028,中式,YTer,是,2.68,120,波妞
漁郎生魚片,928台灣屏東縣東港鎮朝隆路39號331號攤 華僑市場356攤東港漁港漁產品直銷中心（華僑市場）,https://www.google.com/maps/place/%E6%BC%81%E9%83%8E%E7%94%9F%E9%AD%9A%E7%89%87/data=!4m2!3m1!1s0x3471e185863ce389:0xea08ec7b1dfa864b,日式,YTer,是,266.62,300,賴爸
二の丸安兵衛,"3 Chome-12-17 Nishikujo, Konohana Ward, Osaka, 554-0012日本",https://www.google.com/maps/place/%E4%BA%8C%E3%81%AE%E4%B8%B8%E5%AE%89%E5%85%B5%E8%A1%9B/data=!4m2!3m1!1s0x6000e7c068cb8db3:0xbf295b7009e37caa,日式,YTer,是,1774.66,300,騏哥蛇丸
Naniwa Omuraisu,"3 Chome-11-27 Minamisenba, Chuo Ward, Osaka, 542-0081日本",https://www.google.com/maps/place/Naniwa+Omuraisu/data=!4m2!3m1!1s0x6000e71a23415555:0x60b3835c1d9a8a5d,日式,YTer,是,1776.79,300,騏哥蛇丸
Mel Coffee Roasters,"1 Chome-20-4 Shinmachi, Nishi Ward, Osaka, 550-0013日本",https://www.google.com/maps/place/Mel+Coffee+Roasters/data=!4m2!3m1!1s0x6000e704a2e2719f:0x64504cba1ee4b720,其他,YTer,是,1776.41,150,騏哥蛇丸
大阪難波凱悅嘉薈酒店,"2-7-5 Nipponbashi, Chuo Ward, Osaka, 542-0073日本",https://www.google.com/maps/place/%E5%A4%A7%E9%98%AA%E9%9B%A3%E6%B3%A2%E5%87%B1%E6%82%85%E5%98%89%E8%96%88%E9%85%92%E5%BA%97/data=!4m2!3m1!1s0x6000e774747c83e9:0xe765c48d38776c3a,其他,YTer,是,1776.34,未知,騏哥蛇丸
"Sojibō, Shinshu Soba Restaurant","日本〒549-0011 Osaka, Sennan District, Tajiri, Senshukukonaka, 1 関西国際空港旅客ターミナルビル 2F","https://www.google.com/maps/place/Sojib%C5%8D,+Shinshu+Soba+Restaurant/data=!4m2!3m1!1s0x6000b9fb834803f9:0x7822775a98d5d1d0",日式,YTer,是,1741.48,300,騏哥蛇丸
大直小館,10491台灣臺北市中山區大直里北安路535號之 1 號,https://www.google.com/maps/place/%E5%A4%A7%E7%9B%B4%E5%B0%8F%E9%A4%A8/data=!4m2!3m1!1s0x3442ac05971371f5:0xda64e7b130009573,其他,YTer,是,64.86,150,貝姬 蘿蔔糕
阿城鵝肉,104台灣臺北市中山區中吉里吉林路105號,https://www.google.com/maps/place/%E9%98%BF%E5%9F%8E%E9%B5%9D%E8%82%89/data=!4m2!3m1!1s0x3442a95dec299d8f:0x9a3740ecab3f2e0,中式,YTer,是,62.17,120,貝姬
