店名,地址,網址,餐飲類型,來源清單,是否曾去過,距離住家(公里),人均消費預估(元),備註
TNT美式炭烤牛排-新竹店,300台灣新竹市東區復中里民生路165號,https://www.google.com/maps/place/TNT%E7%BE%8E%E5%BC%8F%E7%82%AD%E7%83%A4%E7%89%9B%E6%8E%92-%E6%96%B0%E7%AB%B9%E5%BA%97/data=!4m2!3m1!1s0x346835001d5f3155:0xdf32db11d4939bf5,美式,常用晚餐,是,0.63,400,
富田園飯麵館,300台灣新竹市東區三民里民族路209號,https://www.google.com/maps/place/%E5%AF%8C%E7%94%B0%E5%9C%92%E9%A3%AF%E9%BA%B5%E9%A4%A8/data=!4m2!3m1!1s0x346835da5a7b693d:0x6becc5563169e289,中式,常用晚餐,是,0.96,120,炒飯/炒麵/乾炒牛河
阿吉海鮮,300台灣新竹市東區復興里民主路91號,https://www.google.com/maps/place/%E9%98%BF%E5%90%89%E6%B5%B7%E9%AE%AE/data=!4m2!3m1!1s0x346835da79513af7:0x6cc62a61c3e92e53,中式,常用晚餐,是,0.82,450,
玉山自助餐,300台灣新竹市東區文華里光華東街10號,https://www.google.com/maps/place/%E7%8E%89%E5%B1%B1%E8%87%AA%E5%8A%A9%E9%A4%90/data=!4m2!3m1!1s0x346835cfb4791401:0xdbd18f2b58c02cdc,其他,常用晚餐,是,0.16,150,
The Slice Shop,106台灣臺北市大安區通安里安和路二段69巷18號一樓,https://www.google.com/maps/place/The+Slice+Shop/data=!4m2!3m1!1s0x3442abb3780b3cb5:0xf382cf0081d3e981,其他,徐海莉,是,63.09,150,
佐佧義式窯烤披薩屋,106台灣臺北市大安區通安里安和路二段69巷3號,https://www.google.com/maps/place/%E4%BD%90%E4%BD%A7%E7%BE%A9%E5%BC%8F%E7%AA%AF%E7%83%A4%E6%8A%AB%E8%96%A9%E5%B1%8B/data=!4m2!3m1!1s0x3442abcc96586839:0x698b2a2e01a24f4b,義式,徐海莉,是,63.09,350,純正義式薄皮
蔡 迪化街古早味蚵嗲,103台灣臺北市大同區永樂里民生西路362巷40號,https://www.google.com/maps/place/%E8%94%A1+%E8%BF%AA%E5%8C%96%E8%A1%97%E5%8F%A4%E6%97%A9%E5%91%B3%E8%9A%B5%E5%97%B2/data=!4m2!3m1!1s0x3442a91391ac8be7:0xae44a2cf44fa5da5,其他,徐海莉,是,60.34,150,
姚德和 青草號,103台灣臺北市大同區永樂里民樂街55號57號,https://www.google.com/maps/place/%E5%A7%9A%E5%BE%B7%E5%92%8C+%E9%9D%92%E8%8D%89%E8%99%9F/data=!4m2!3m1!1s0x3442a9147ee9d47f:0x94e41e5cf24bfbe2,其他,徐海莉,是,60.35,150,
老竹子三發包子,103台灣臺北市大同區永樂里迪化街一段21號,https://www.google.com/maps/place/%E8%80%81%E7%AB%B9%E5%AD%90%E4%B8%89%E7%99%BC%E5%8C%85%E5%AD%90/data=!4m2!3m1!1s0x3442a913880d53b5:0x2889d540101195ec,中式,徐海莉,是,60.29,120,
林合發油飯店,103台灣臺北市大同區永樂里迪化街一段21號,https://www.google.com/maps/place/%E6%9E%97%E5%90%88%E7%99%BC%E6%B2%B9%E9%A3%AF%E5%BA%97/data=!4m2!3m1!1s0x3442a913890b7179:0x3de26de9acb7f42d,其他,徐海莉,是,60.29,未知,
永樂車輪餅 | 古早味車輪餅,103台灣臺北市大同區大有里迪化街一段146號騎樓號,https://www.google.com/maps/place/%E6%B0%B8%E6%A8%82%E8%BB%8A%E8%BC%AA%E9%A4%85+%7C+%E5%8F%A4%E6%97%A9%E5%91%B3%E8%BB%8A%E8%BC%AA%E9%A4%85/data=!4m2!3m1!1s0x3442a913880d53b5:0xd286ca4f37b73753,其他,徐海莉,是,60.36,150,
陳家糧舍,103台灣臺北市大同區大有里迪化街一段217號,https://www.google.com/maps/place/%E9%99%B3%E5%AE%B6%E7%B3%A7%E8%88%8D/data=!4m2!3m1!1s0x3442a90bfdf48b2b:0x34c8d5f4a49b0e67,其他,徐海莉,是,60.44,150,
夏樹甜品,103台灣臺北市大同區迪化街一段240號,https://www.google.com/maps/place/%E5%A4%8F%E6%A8%B9%E7%94%9C%E5%93%81/data=!4m2!3m1!1s0x3442abbbd49806b5:0x6505e784294c8e13,其他,徐海莉,是,60.43,150,
賣麵炎仔,103台灣臺北市大同區南芳里安西街106號,https://www.google.com/maps/place/%E8%B3%A3%E9%BA%B5%E7%82%8E%E4%BB%94/data=!4m2!3m1!1s0x3442a93e17f677f7:0x436a32785a5bfc9b,中式,徐海莉,是,60.54,120,
大橋頭胡椒餅,103台灣臺北市大同區南芳里延平北路二段272巷口號,https://www.google.com/maps/place/%E5%A4%A7%E6%A9%8B%E9%A0%AD%E8%83%A1%E6%A4%92%E9%A4%85/data=!4m2!3m1!1s0x3442a93e529d2fe9:0x97b098936bc7baf2,其他,徐海莉,是,60.65,150,
滋養和菓子,10347台灣臺北市大同區大有里迪化街一段247號,https://www.google.com/maps/place/%E6%BB%8B%E9%A4%8A%E5%92%8C%E8%8F%93%E5%AD%90/data=!4m2!3m1!1s0x3442a96c7f213745:0xf87b55be5f35131f,其他,徐海莉,是,60.47,150,草莓大福
阿角紅燒肉劉美麗,103台灣臺北市大同區南芳里延平北路二段247巷2號目前只賣燒肉麵攤休息,https://www.google.com/maps/place/%E9%98%BF%E8%A7%92%E7%B4%85%E7%87%92%E8%82%89%E5%8A%89%E7%BE%8E%E9%BA%97/data=!4m2!3m1!1s0x3442a93fac43e0dd:0x390fb8e4044ff5b0,其他,徐海莉,是,60.75,150,
黄龍莊,100台灣臺北市中正區牯嶺街43號,https://www.google.com/maps/place/%E9%BB%84%E9%BE%8D%E8%8E%8A/data=!4m2!3m1!1s0x3442a998fbe65f61:0xd9b06c0c092ed225,其他,徐海莉,是,59.7,150,
餓菱居,106台灣臺北市大安區群英里四維路170巷26號,https://www.google.com/maps/place/%E9%A4%93%E8%8F%B1%E5%B1%85/data=!4m2!3m1!1s0x3442abc8eed38787:0xa07ad8a807ac0c36,其他,徐海莉,是,62.41,150,
京鼎小館,105台灣臺北市松山區中華里敦化北路155巷13號,https://www.google.com/maps/place/%E4%BA%AC%E9%BC%8E%E5%B0%8F%E9%A4%A8/data=!4m2!3m1!1s0x3442abe8e5383533:0x7e7a83a63541962c,其他,徐海莉,是,63.92,150,
三盛｜刺身 • 握壽司 • 壽司,300台灣新竹市東區育賢里民族路33之2號,https://www.google.com/maps/place/%E4%B8%89%E7%9B%9B%EF%BD%9C%E5%88%BA%E8%BA%AB+%E2%80%A2+%E6%8F%A1%E5%A3%BD%E5%8F%B8+%E2%80%A2+%E5%A3%BD%E5%8F%B8/data=!4m2!3m1!1s0x346835002c6af6d7:0xd746fa3ffe3ea3eb,日式,想去的地點,否,1.2,300,
民權咔啦炸雞,300台灣新竹市東區復中里民權路195號,https://www.google.com/maps/place/%E6%B0%91%E6%AC%8A%E5%92%94%E5%95%A6%E7%82%B8%E9%9B%9E/data=!4m2!3m1!1s0x346835c501b741b1:0xc746a1715ae33ab,其他,想去的地點,否,0.68,150,thread/甩油
李美樂鹹水雞專賣店-新竹鹹水雞首選|巨城/湳雅/光華商圈鹹水雞專賣店|街邊美食|外帶美食|鹹水雞推薦|舒肥餐|必吃鹹水雞|人氣鹹水雞,300台灣新竹市北區光華里湳雅街38號,https://www.google.com/maps/place/%E6%9D%8E%E7%BE%8E%E6%A8%82%E9%B9%B9%E6%B0%B4%E9%9B%9E%E5%B0%88%E8%B3%A3%E5%BA%97-%E6%96%B0%E7%AB%B9%E9%B9%B9%E6%B0%B4%E9%9B%9E%E9%A6%96%E9%81%B8%7C%E5%B7%A8%E5%9F%8E%2F%E6%B9%B3%E9%9B%85%2F%E5%85%89%E8%8F%AF%E5%95%86%E5%9C%88%E9%B9%B9%E6%B0%B4%E9%9B%9E%E5%B0%88%E8%B3%A3%E5%BA%97%7C%E8%A1%97%E9%82%8A%E7%BE%8E%E9%A3%9F%7C%E5%A4%96%E5%B8%B6%E7%BE%8E%E9%A3%9F%7C%E9%B9%B9%E6%B0%B4%E9%9B%9E%E6%8E%A8%E8%96%A6%7C%E8%88%92%E8%82%A5%E9%A4%90%7C%E5%BF%85%E5%90%83%E9%B9%B9%E6%B0%B4%E9%9B%9E%7C%E4%BA%BA%E6%B0%A3%E9%B9%B9%E6%B0%B4%E9%9B%9E/data=!4m2!3m1!1s0x346835d110904d83:0xeae875ba81915bcd,其他,想去的地點,否,0.34,150,
唐人街茶餐廳,407台灣臺中市西屯區福聯里玉門路25號,https://www.google.com/maps/place/%E5%94%90%E4%BA%BA%E8%A1%97%E8%8C%B6%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x346915e4a63e2b11:0xb3cea5c7ded334ff,中式,想去的地點,否,79.21,450,
雙月食品社 竹北店,302台灣新竹縣竹北市福德里中正東路335巷2弄6號1樓,https://www.google.com/maps/place/%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE+%E7%AB%B9%E5%8C%97%E5%BA%97/data=!4m2!3m1!1s0x346837004658f8d3:0x94c9bc2a7445e937,其他,想去的地點,否,4.33,150,
HOYA燒肉,302台灣新竹縣竹北市東平里六家一路一段7號一樓,https://www.google.com/maps/place/HOYA%E7%87%92%E8%82%89/data=!4m2!3m1!1s0x3468370320e0019f:0x6a51fbf990f09399,其他,想去的地點,否,5.2,150,
小里子海鮮,103台灣臺北市大同區保安里哈密街93號,https://www.google.com/maps/place/%E5%B0%8F%E9%87%8C%E5%AD%90%E6%B5%B7%E9%AE%AE/data=!4m2!3m1!1s0x3442a949c4c78fe1:0x448b414b7582b95e,中式,想去的地點,否,61.57,450,
貝蛤蛤海鮮餐酒館-新竹店,300台灣新竹市東區南門里中華路二段548號,https://www.google.com/maps/place/%E8%B2%9D%E8%9B%A4%E8%9B%A4%E6%B5%B7%E9%AE%AE%E9%A4%90%E9%85%92%E9%A4%A8-%E6%96%B0%E7%AB%B9%E5%BA%97/data=!4m2!3m1!1s0x34683528a0009671:0xe078e6edd580136e,中式,想去的地點,否,1.83,450,
豪食,300台灣新竹市東區綠水里學府路156號,https://www.google.com/maps/place/%E8%B1%AA%E9%A3%9F/data=!4m2!3m1!1s0x346835b1685eaf07:0x17b9592fd9310023,中式,想去的地點,否,2.43,120,蒸蛋飯
銀記手擀刀切牛肉麵,100台灣臺北市中正區梅花里八德路一段82巷9弄17號,https://www.google.com/maps/place/%E9%8A%80%E8%A8%98%E6%89%8B%E6%93%80%E5%88%80%E5%88%87%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442a97ca0f744ab:0x8673faa071b6a5c9,中式,想去的地點,否,61.67,120,大碗
福哥石窯雞羅東店,268台灣宜蘭縣五結鄉五結村國民中路12-16號,https://www.google.com/maps/place/%E7%A6%8F%E5%93%A5%E7%9F%B3%E7%AA%AF%E9%9B%9E%E7%BE%85%E6%9D%B1%E5%BA%97/data=!4m2!3m1!1s0x3467e506cbbe2741:0xfd0c89844a2140b0,其他,想去的地點,否,83.72,150,走著走著
榅燻Comfort Table Smoke BBQ(線上菜單已更新),302台灣新竹縣竹北市竹仁里仁德街11號,https://www.google.com/maps/place/%E6%A6%85%E7%87%BBComfort+Table+Smoke+BBQ(%E7%B7%9A%E4%B8%8A%E8%8F%9C%E5%96%AE%E5%B7%B2%E6%9B%B4%E6%96%B0)/data=!4m2!3m1!1s0x34683778547b0de7:0xf1dc91b1141b1e3a,其他,想去的地點,否,4.54,150,煙燻牛胸/起司通心粉
甘蔗王鳳梨王桶仔雞,302台灣新竹縣竹北市新國里華興街265號,https://www.google.com/maps/place/%E7%94%98%E8%94%97%E7%8E%8B%E9%B3%B3%E6%A2%A8%E7%8E%8B%E6%A1%B6%E4%BB%94%E9%9B%9E/data=!4m2!3m1!1s0x346837c033db89f5:0x41a3b1a47fccd51d,其他,想去的地點,否,3.62,150,
煙癮Smoked BBQ,300台灣新竹市北區文華里田美三街26號,https://www.google.com/maps/place/%E7%85%99%E7%99%AESmoked+BBQ/data=!4m2!3m1!1s0x3468359a3b56f57f:0x43b205eb8467f203,其他,想去的地點,否,0.35,150,
八田 手作油飯·豆花（國定假日公休）,300台灣新竹市東區學府路383號,https://www.google.com/maps/place/%E5%85%AB%E7%94%B0+%E6%89%8B%E4%BD%9C%E6%B2%B9%E9%A3%AF%C2%B7%E8%B1%86%E8%8A%B1%EF%BC%88%E5%9C%8B%E5%AE%9A%E5%81%87%E6%97%A5%E5%85%AC%E4%BC%91%EF%BC%89/data=!4m2!3m1!1s0x34683537c676f7a9:0x61c9c4c239c55d53,中式,想去的地點,否,2.24,120,波妞
鰻丼作（公休日請見臉書動態）寵物友善餐廳,700台灣臺南市中西區南美里永福路二段35巷11號,https://www.google.com/maps/place/%E9%B0%BB%E4%B8%BC%E4%BD%9C%EF%BC%88%E5%85%AC%E4%BC%91%E6%97%A5%E8%AB%8B%E8%A6%8B%E8%87%89%E6%9B%B8%E5%8B%95%E6%85%8B%EF%BC%89%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x346e767cbabb6291:0xd667be72f2238988,日式,想去的地點,否,217.67,600,鐵牛
野叔主廚私房料理,300台灣新竹市東區綠水里園後街4號,https://www.google.com/maps/place/%E9%87%8E%E5%8F%94%E4%B8%BB%E5%BB%9A%E7%A7%81%E6%88%BF%E6%96%99%E7%90%86/data=!4m2!3m1!1s0x346835df94bc30b5:0x876fdd96780d660d,其他,想去的地點,否,2.18,150,薄羽，刺蔥
山口六家食堂,302台灣新竹縣竹北市鹿場里自強南路36號2 樓,https://www.google.com/maps/place/%E5%B1%B1%E5%8F%A3%E5%85%AD%E5%AE%B6%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x34683702329d1955:0xce6e29cb48d5a5eb,中式,想去的地點,否,5.41,120,小葉
阿男麻油雞,100台灣臺北市中正區忠勤里中華路二段311巷34號,https://www.google.com/maps/place/%E9%98%BF%E7%94%B7%E9%BA%BB%E6%B2%B9%E9%9B%9E/data=!4m2!3m1!1s0x3442a9bb3aa961e7:0xd3b7b58a43d64245,其他,想去的地點,否,58.73,150,丁特
瘋蝦吃到飽,403台灣臺中市西區吉龍里五權西三街105-1號,https://www.google.com/maps/place/%E7%98%8B%E8%9D%A6%E5%90%83%E5%88%B0%E9%A3%BD/data=!4m2!3m1!1s0x34693da88827b0ef:0x7e561dec6b753fcd,其他,想去的地點,否,82.04,150,
小曾擔舖,302台灣新竹縣竹北市北崙里縣政十街68號,https://www.google.com/maps/place/%E5%B0%8F%E6%9B%BE%E6%93%94%E8%88%96/data=!4m2!3m1!1s0x346837ec455e1cbf:0xd24f41c76fe5ad23,其他,想去的地點,否,3.85,150,
六家橋頭早餐,300台灣新竹縣竹北市東平里自強南路251號,https://www.google.com/maps/place/%E5%85%AD%E5%AE%B6%E6%A9%8B%E9%A0%AD%E6%97%A9%E9%A4%90/data=!4m2!3m1!1s0x34683657f97fb64f:0x5879c6796d1cef70,其他,想去的地點,否,4.97,150,
富士豬排 とんかつ富士 熟成豬排 小巨蛋店,105台灣臺北市松山區東勢里健康路50號1樓,https://www.google.com/maps/place/%E5%AF%8C%E5%A3%AB%E8%B1%AC%E6%8E%92+%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%E5%AF%8C%E5%A3%AB+%E7%86%9F%E6%88%90%E8%B1%AC%E6%8E%92+%E5%B0%8F%E5%B7%A8%E8%9B%8B%E5%BA%97/data=!4m2!3m1!1s0x3442ab11fba1b1a9:0xda8c58618ce2a8aa,其他,想去的地點,否,64.09,150,萊斯
IKIGAI 燒肉專門店-台中新朝富店,407台灣臺中市西屯區潮洋里朝富路100號2樓,https://www.google.com/maps/place/IKIGAI+%E7%87%92%E8%82%89%E5%B0%88%E9%96%80%E5%BA%97-%E5%8F%B0%E4%B8%AD%E6%96%B0%E6%9C%9D%E5%AF%8C%E5%BA%97/data=!4m2!3m1!1s0x34693dd4bfe6c9ef:0x4f8a630bb3b9adfe,其他,想去的地點,否,79.95,150,
九蝦行製蝦專門所,500台灣彰化縣彰化市永生里永樂街27-1號,https://www.google.com/maps/place/%E4%B9%9D%E8%9D%A6%E8%A1%8C%E8%A3%BD%E8%9D%A6%E5%B0%88%E9%96%80%E6%89%80/data=!4m2!3m1!1s0x34693961e9d1b8fd:0xfbaaeffcc5b8d747,其他,想去的地點,否,93.09,150,民眾台8線
高家莊米苔目,104台灣臺北市中山區中山里林森北路279號,https://www.google.com/maps/place/%E9%AB%98%E5%AE%B6%E8%8E%8A%E7%B1%B3%E8%8B%94%E7%9B%AE/data=!4m2!3m1!1s0x3442a967dff20577:0x68c4d8dc6313a844,其他,想去的地點,否,61.69,150,Eli
大橋頭米糕,103台灣臺北市大同區隆和里延平北路三段41號,https://www.google.com/maps/place/%E5%A4%A7%E6%A9%8B%E9%A0%AD%E7%B1%B3%E7%B3%95/data=!4m2!3m1!1s0x3442a93ed634cd47:0x3a4001a982bec955,中式,想去的地點,否,60.86,120,Eli
林江牛肉麵,111台灣臺北市士林區社子里社中街130號,https://www.google.com/maps/place/%E6%9E%97%E6%B1%9F%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442aec8e60ef099:0x57c7fa035afaa853,中式,想去的地點,否,62.09,120,Eli
雙連圓仔湯,103台灣臺北市大同區光能里民生西路136號,https://www.google.com/maps/place/%E9%9B%99%E9%80%A3%E5%9C%93%E4%BB%94%E6%B9%AF/data=!4m2!3m1!1s0x3442a96a11391b2b:0xf14198f38b3a86e5,中式,想去的地點,否,61.18,120,Eli
麵線傳奇,104台灣臺北市中山區集英里天祥路39號,https://www.google.com/maps/place/%E9%BA%B5%E7%B7%9A%E5%82%B3%E5%A5%87/data=!4m2!3m1!1s0x3442a943c0e47157:0x61627474cc06645d,中式,想去的地點,否,61.59,120,Eli
阿桐阿寶四神湯,103台灣臺北市大同區雙連里民生西路153號,https://www.google.com/maps/place/%E9%98%BF%E6%A1%90%E9%98%BF%E5%AF%B6%E5%9B%9B%E7%A5%9E%E6%B9%AF/data=!4m2!3m1!1s0x3442a96a67c9be13:0xba1ef70fcd5a52bc,中式,想去的地點,否,61.06,120,Eli
阿東窯烤雞 新竹店,307台灣新竹縣芎林鄉新鳳村富林路二段556-1號,https://www.google.com/maps/place/%E9%98%BF%E6%9D%B1%E7%AA%AF%E7%83%A4%E9%9B%9E+%E6%96%B0%E7%AB%B9%E5%BA%97/data=!4m2!3m1!1s0x3468386c006dec1d:0xd55b69f30b18a784,其他,想去的地點,否,13.18,150,吊車大王推薦
福泰飯桌,700台灣臺南市中西區赤嵌里民族路二段240號,https://www.google.com/maps/place/%E7%A6%8F%E6%B3%B0%E9%A3%AF%E6%A1%8C/data=!4m2!3m1!1s0x346e7661706ecac7:0x8b61cd5f7180e3eb,中式,想去的地點,否,216.94,120,
福泰飯桌 第三代,700台灣臺南市中西區赤嵌里民族路二段219號,https://www.google.com/maps/place/%E7%A6%8F%E6%B3%B0%E9%A3%AF%E6%A1%8C+%E7%AC%AC%E4%B8%89%E4%BB%A3/data=!4m2!3m1!1s0x346e7661ffdf83e7:0x46c60109efec100,中式,想去的地點,否,216.96,120,
富錦樹台菜香檳 敦北店,10548台灣臺北市松山區精忠里敦化北路199巷17號1樓,https://www.google.com/maps/place/%E5%AF%8C%E9%8C%A6%E6%A8%B9%E5%8F%B0%E8%8F%9C%E9%A6%99%E6%AA%B3+%E6%95%A6%E5%8C%97%E5%BA%97/data=!4m2!3m1!1s0x3442abeeb8cfa39d:0x29ae480e77529935,其他,想去的地點,否,64.23,150,
臭二爺|素食|清蒸臭豆腐,300台灣新竹市北區中山里中山路36號,https://www.google.com/maps/place/%E8%87%AD%E4%BA%8C%E7%88%BA%7C%E7%B4%A0%E9%A3%9F%7C%E6%B8%85%E8%92%B8%E8%87%AD%E8%B1%86%E8%85%90/data=!4m2!3m1!1s0x346835b9c97adb6d:0xbd491e4b8eab9e8e,中式,想去的地點,否,1.32,120,
粟家牛肉麵 總店,112台灣臺北市北投區中庸里永興路一段2號,https://www.google.com/maps/place/%E7%B2%9F%E5%AE%B6%E7%89%9B%E8%82%89%E9%BA%B5+%E7%B8%BD%E5%BA%97/data=!4m2!3m1!1s0x3442ae518a600afb:0xd646fcc1f6a07149,中式,想去的地點,否,63.94,120,Eli
美鮮牛肉湯,702台灣臺南市南區鹽埕里新興路419號之1號號,https://www.google.com/maps/place/%E7%BE%8E%E9%AE%AE%E7%89%9B%E8%82%89%E6%B9%AF/data=!4m2!3m1!1s0x346e75dbac4a6a15:0x25f38baa606adaab,中式,想去的地點,否,219.65,120,好味小姐環島
隱焱匠｜日式燒肉,302台灣新竹縣竹北市莊敬七街45號1樓,https://www.google.com/maps/place/%E9%9A%B1%E7%84%B1%E5%8C%A0%EF%BD%9C%E6%97%A5%E5%BC%8F%E7%87%92%E8%82%89/data=!4m2!3m1!1s0x346837fa4fa76a9f:0x790da2e4099d16b7,日式,想去的地點,否,5.8,600,
黔園川菜餐廳,108台灣臺北市萬華區西門里峨眉街88-1號,https://www.google.com/maps/place/%E9%BB%94%E5%9C%92%E5%B7%9D%E8%8F%9C%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x3442a9089154ab69:0xd3b752ee0728503b,其他,想去的地點,否,59.16,150,ig
新光黃昏市場 逸香閣 ｜鵝肉｜烤鴨｜概念館,401台灣臺中市東區東英里十甲路470號新光市場6路7街,https://www.google.com/maps/place/%E6%96%B0%E5%85%89%E9%BB%83%E6%98%8F%E5%B8%82%E5%A0%B4+%E9%80%B8%E9%A6%99%E9%96%A3+%EF%BD%9C%E9%B5%9D%E8%82%89%EF%BD%9C%E7%83%A4%E9%B4%A8%EF%BD%9C%E6%A6%82%E5%BF%B5%E9%A4%A8/data=!4m2!3m1!1s0x34693d42c93eef81:0x3bec4c882826f5ce,中式,想去的地點,否,79.31,120,ig
EILONG宜龍 新竹東門｜高質感茶具·咖啡器具｜商務送禮｜節慶送禮首選｜泡茶·手沖咖啡體驗,300台灣新竹市東區中正里中正路46號1樓,https://www.google.com/maps/place/EILONG%E5%AE%9C%E9%BE%8D+%E6%96%B0%E7%AB%B9%E6%9D%B1%E9%96%80%EF%BD%9C%E9%AB%98%E8%B3%AA%E6%84%9F%E8%8C%B6%E5%85%B7%C2%B7%E5%92%96%E5%95%A1%E5%99%A8%E5%85%B7%EF%BD%9C%E5%95%86%E5%8B%99%E9%80%81%E7%A6%AE%EF%BD%9C%E7%AF%80%E6%85%B6%E9%80%81%E7%A6%AE%E9%A6%96%E9%81%B8%EF%BD%9C%E6%B3%A1%E8%8C%B6%C2%B7%E6%89%8B%E6%B2%96%E5%92%96%E5%95%A1%E9%AB%94%E9%A9%97/data=!4m2!3m1!1s0x346835bda9e7c04b:0xd9fd8a92cfadc47e,其他,想去的地點,否,1.31,150,內人推薦
太初麵食,408台灣臺中市南屯區惠中里公益路二段115號,https://www.google.com/maps/place/%E5%A4%AA%E5%88%9D%E9%BA%B5%E9%A3%9F/data=!4m2!3m1!1s0x34693d96ffffffff:0x9ca4b5a8ac869869,中式,想去的地點,否,80.95,120,司機推薦
小馬客,300台灣新竹市東區台溪里中華路三段18號1樓,https://www.google.com/maps/place/%E5%B0%8F%E9%A6%AC%E5%AE%A2/data=!4m2!3m1!1s0x346835ed18ab6d49:0x9e1957ee27533924,其他,想去的地點,否,2.36,150,
阿亮海產店,961台灣臺東縣成功鎮三仙里芝田路186之7,https://www.google.com/maps/place/%E9%98%BF%E4%BA%AE%E6%B5%B7%E7%94%A2%E5%BA%97/data=!4m2!3m1!1s0x346f7172b19c5711:0xe14b8b3b9e0803e6,其他,想去的地點,否,193.86,150,賴爸/海豬腳/本港旭蟹/本港龍蝦/這個魚/蚵仔
台南福生小食店,700台灣臺南市中西區南廠里海安路一段100號,https://www.google.com/maps/place/%E5%8F%B0%E5%8D%97%E7%A6%8F%E7%94%9F%E5%B0%8F%E9%A3%9F%E5%BA%97/data=!4m2!3m1!1s0x346e767a58c7b235:0x20b4544152ebca6b,中式,想去的地點,否,217.96,120,志明/鱔魚意麵
溫爸鵝肉（數量有限 完售即收）,70444台灣臺南市北區長興里西門路三段274號,https://www.google.com/maps/place/%E6%BA%AB%E7%88%B8%E9%B5%9D%E8%82%89%EF%BC%88%E6%95%B8%E9%87%8F%E6%9C%89%E9%99%90+%E5%AE%8C%E5%94%AE%E5%8D%B3%E6%94%B6%EF%BC%89/data=!4m2!3m1!1s0x346e7761c31d00d7:0xba762c11ad186dbd,中式,想去的地點,否,216.05,120,志明/鵝肉飯
台南市牛家莊牛肉湯,70056台灣臺南市中西區南廠里郡西路86號,https://www.google.com/maps/place/%E5%8F%B0%E5%8D%97%E5%B8%82%E7%89%9B%E5%AE%B6%E8%8E%8A%E7%89%9B%E8%82%89%E6%B9%AF/data=!4m2!3m1!1s0x346e767a059d39cb:0xa396e5d3dd1f8587,中式,想去的地點,否,217.99,120,志明/牛肉蛋花湯
有飯開炒飯,302台灣新竹縣竹北市鹿場里自強五路70號,https://www.google.com/maps/place/%E6%9C%89%E9%A3%AF%E9%96%8B%E7%82%92%E9%A3%AF/data=!4m2!3m1!1s0x346836fa6b3e298b:0xf485944087bcadbb,中式,想去的地點,否,5.02,120,薄羽
大碗公牛肉麵,116台灣臺北市文山區華興里木柵路一段294號,https://www.google.com/maps/place/%E5%A4%A7%E7%A2%97%E5%85%AC%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442aa0a54c8d991:0x2cc70b571efc49e6,中式,想去的地點,否,61.85,120,月希
牛爸爸牛肉麵,114台灣臺北市內湖區寶湖里民權東路六段149號一樓,https://www.google.com/maps/place/%E7%89%9B%E7%88%B8%E7%88%B8%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442abc5fc2c903f:0xac6fc6a39b604db2,中式,想去的地點,否,68.63,120,月希
江牛樓,103台灣臺北市大同區 大同区 民樂街6號,https://www.google.com/maps/place/%E6%B1%9F%E7%89%9B%E6%A8%93/data=!4m2!3m1!1s0x3442a925115d13cf:0x5e806f3067dbf4dd,其他,想去的地點,否,60.36,150,月希
楊廚師,300台灣新竹市北區民富里經國路二段415號,https://www.google.com/maps/place/%E6%A5%8A%E5%BB%9A%E5%B8%AB/data=!4m2!3m1!1s0x346835bdbf2401eb:0xc84395f7373b6b11,其他,想去的地點,否,1.93,150,
Baboş 土耳其炭火烤肉 (Halal),302台灣新竹縣竹北市鹿場里成功八路229號,https://www.google.com/maps/place/Babo%C5%9F+%E5%9C%9F%E8%80%B3%E5%85%B6%E7%82%AD%E7%81%AB%E7%83%A4%E8%82%89+(Halal)/data=!4m2!3m1!1s0x346837cb8b7dfbeb:0x3766e4f2391dd69b,其他,想去的地點,否,4.76,150,
夜間部爌肉飯,403台灣臺中市西區公德里精誠路109號,https://www.google.com/maps/place/%E5%A4%9C%E9%96%93%E9%83%A8%E7%88%8C%E8%82%89%E9%A3%AF/data=!4m2!3m1!1s0x34693d99d274375d:0xa2c9c1cf2967520b,中式,想去的地點,否,80.73,120,denq
慢漫桶仔雞,300台灣新竹市香山區東香里美之城7-1號四季華城對面,https://www.google.com/maps/place/%E6%85%A2%E6%BC%AB%E6%A1%B6%E4%BB%94%E9%9B%9E/data=!4m2!3m1!1s0x34684b2cbbbbcec5:0x61fb3a244fccfc1a,其他,想去的地點,否,5.51,150,老婆推薦
